smiles;MaxEStateIndex;MinEStateIndex;MaxAbsEStateIndex;MinAbsEStateIndex;qed;MolWt;HeavyAtomMolWt;ExactMolWt;NumValenceElectrons;NumRadicalElectrons;MaxPartialCharge;MinPartialCharge;MaxAbsPartialCharge;MinAbsPartialCharge;FpDensityMorgan1;FpDensityMorgan2;FpDensityMorgan3;BCUT2D_MWHI;BCUT2D_MWLOW;BCUT2D_CHGHI;BCUT2D_CHGLO;BCUT2D_LOGPHI;BCUT2D_LOGPLOW;BCUT2D_MRHI;BCUT2D_MRLOW;BalabanJ;BertzCT;Chi0;Chi0n;Chi0v;Chi1;Chi1n;Chi1v;Chi2n;Chi2v;Chi3n;Chi3v;Chi4n;Chi4v;HallKierAlpha;Ipc;Kappa1;Kappa2;Kappa3;LabuteASA;PEOE_VSA1;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;PEOE_VSA14;PEOE_VSA2;PEOE_VSA3;PEOE_VSA4;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;SMR_VSA1;SMR_VSA10;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;SMR_VSA8;SMR_VSA9;SlogP_VSA1;SlogP_VSA10;SlogP_VSA11;SlogP_VSA12;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;TPSA;EState_VSA1;EState_VSA10;EState_VSA11;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;VSA_EState1;VSA_EState10;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;FractionCSP3;HeavyAtomCount;NHOHCount;NOCount;NumAliphaticCarbocycles;NumAliphaticHeterocycles;NumAliphaticRings;NumAromaticCarbocycles;NumAromaticHeterocycles;NumAromaticRings;NumHAcceptors;NumHDonors;NumHeteroatoms;NumRotatableBonds;NumSaturatedCarbocycles;NumSaturatedHeterocycles;NumSaturatedRings;RingCount;MolLogP;MolMR;fr_Al_COO;fr_Al_OH;fr_Al_OH_noTert;fr_ArN;fr_Ar_COO;fr_Ar_N;fr_Ar_NH;fr_Ar_OH;fr_COO;fr_COO2;fr_C_O;fr_C_O_noCOO;fr_C_S;fr_HOCCN;fr_Imine;fr_NH0;fr_NH1;fr_NH2;fr_N_O;fr_Ndealkylation1;fr_Ndealkylation2;fr_Nhpyrrole;fr_SH;fr_aldehyde;fr_alkyl_carbamate;fr_alkyl_halide;fr_allylic_oxid;fr_amide;fr_amidine;fr_aniline;fr_aryl_methyl;fr_azide;fr_azo;fr_barbitur;fr_benzene;fr_benzodiazepine;fr_bicyclic;fr_diazo;fr_dihydropyridine;fr_epoxide;fr_ester;fr_ether;fr_furan;fr_guanido;fr_halogen;fr_hdrzine;fr_hdrzone;fr_imidazole;fr_imide;fr_isocyan;fr_isothiocyan;fr_ketone;fr_ketone_Topliss;fr_lactam;fr_lactone;fr_methoxy;fr_morpholine;fr_nitrile;fr_nitro;fr_nitro_arom;fr_nitro_arom_nonortho;fr_nitroso;fr_oxazole;fr_oxime;fr_para_hydroxylation;fr_phenol;fr_phenol_noOrthoHbond;fr_phos_acid;fr_phos_ester;fr_piperdine;fr_piperzine;fr_priamide;fr_prisulfonamd;fr_pyridine;fr_quatN;fr_sulfide;fr_sulfonamd;fr_sulfone;fr_term_acetylene;fr_tetrazole;fr_thiazole;fr_thiocyan;fr_thiophene;fr_unbrch_alkane;fr_urea;Molecule_Type;HOMO_CV;LUMO_CV;HOMO_DFT;LUMO_DFT
Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc56)s4)sc3c(-c3ccc(C)s3)c3ccsc23)s1;12.57303491;-3.300578835;12.57303491;0.428978254;0.169031809;763.162;740.986;761.9106189;228;0;0.184422135;-0.223158384;0.223158384;0.184422135;0.5;1.217391304;1.891304348;32.24345359;9.997795243;2.247623889;-2.091824709;2.546448633;-1.914123164;7.92545166;0.603606159;1.251974014;2600.188382;31.31889752;24.49628469;31.84475392;22.22449789;14.23894994;22.78864658;11.06935147;21.96033515;7.911125407;18.83176064;5.892436556;15.76494562;-2.45;55693615687;29.67084733;11.04571135;4.780282736;297.6049986;0;4.209179178;9.837253136;0;0;0;0;8.417796984;0;90.69428702;6.066367068;85.27127062;81.95836219;14.4542143;8.417796984;130.7899726;0;0;0;18.05665358;6.255769184;87.24445768;0;50.14408053;0;0;0;90.69428702;14.67356617;9.837253136;13.8474744;9.754294387;81.69934247;0;80.40251293;0;34.14;9.837253136;8.417796984;0;0;4.209179178;19.84043852;87.90892386;34.01035763;51.41351058;85.27127062;0;29.33049947;14.14323029;12.43739944;8.012230995;2.697874964;0;24.25692415;1.30360573;4.368813791;-3.300578835;0.085714286;46;0;2;0;0;0;1;8;9;10;0;11;6;0;0;0;9;13.99354;211.7398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;0;polymer;-5.04;-3.57;-5.07;-2.69
Cc1cc(-c2cc3c(cc(-c4cc(C)c(-c5cccs5)s4)c4nsnc43)c3nsnc23)sc1-c1cccs1;4.79904735;0.939013894;4.79904735;0.939013894;0.20162919;600.866;584.738;599.9699225;184;0;0.113593197;-0.17225147;0.17225147;0.113593197;0.526315789;0.973684211;1.394736842;32.14400932;9.981117085;2.217773805;-2.074710755;2.466314388;-1.863157419;7.237699852;1.550074248;1.373881824;1953.086626;25.37973993;20.01184682;24.9108263;18.65299968;11.79095801;16.64385028;9.066427907;14.12310935;6.721460625;12.41887151;4.966813731;10.33024983;-2.86;1577659905;23.06427078;8.836352176;3.482943423;241.7197893;0;22.06680287;0;0;0;0;0;0;17.49415993;45.34714351;12.13273414;72.13270533;51.16223457;23.45637469;0;101.6427695;0;17.49415993;0;13.8474744;0;70.41796507;0;40.38978615;0;0;0;68.8035182;17.49415993;0;13.8474744;11.12690298;59.29106209;0;73.22903744;0;51.56;0;0;0;0;0;43.96615428;63.84616084;22.67357176;22.67357176;73.13853649;17.49415993;19.15675701;9.761192862;7.65431578;6.439980961;8.594832603;0;17.68083936;0;4.37874809;0;0.071428571;38;0;4;0;0;0;2;6;8;10;0;10;4;0;0;0;8;10.38004;168.62;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;polymer;-5.16;-3.77;-5.15;-3.09
Cc1cc(-c2c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5C(=O)N(C)c6c(F)cccc65)s4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4cccs4)sc23)sc1C;16.90728867;-0.559601248;16.90728867;0.081086622;0.161522127;899.194;866.938;898.0756107;296;0;0.259140422;-0.308118098;0.308118098;0.259140422;0.5;1.05;1.616666667;32.14067684;9.949526244;2.424095076;-2.120907077;2.557970428;-2.24231177;7.292149155;-0.114016869;1.07770403;3231.329439;41.4626437;32.99924623;37.89822571;28.88795824;19.13626202;24.09839774;15.23541115;21.88392595;11.75947895;18.78464113;8.522744151;15.25907867;-5.08;6.00821E+13;37.88552181;13.71743752;5.441118856;368.1014152;9.799819462;5.817220841;5.817220841;0;11.81435946;0;9.589074368;8.780830095;0;68.02071527;24.26546827;98.79921817;105.9792144;22.52098161;18.36990446;122.5283446;0;0;0;27.6949488;23.89516343;127.8853767;0;50.83038483;9.799819462;20.15560264;0;68.02071527;25.90970342;9.589074368;39.32939048;32.00810035;84.24283466;0;82.14888215;0;40.62;23.44880114;13.97948942;4.390415048;22.52098161;16.69035448;14.63144158;119.0536608;40.87267296;40.0767247;75.53958105;0;34.33589268;10.63242349;40.38874097;4.624714598;6.496994918;-2.108916598;25.54264124;0;8.752165434;3.002009918;0.125;60;0;4;0;2;2;3;6;9;8;0;12;5;0;0;0;11;15.07248;254.836;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;4;0;0;0;3;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;polymer;-5.64;-3.98;-5.04;-3.23
C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc23)cc1OC;5.594422932;0.576200067;5.594422932;0.576200067;0.283084762;472.569;452.409;472.1245489;168;0;0.135512703;-0.49540182;0.49540182;0.135512703;0.742857143;1.314285714;1.914285714;32.13347471;10.0374235;2.156841673;-2.091946738;2.335273378;-1.947715081;7.116889291;0.400911979;1.66409061;1622.345245;24.20009537;19.20207583;20.01857241;17.2113712;10.86241648;11.74206929;7.598657617;8.478310428;5.508530166;6.38075518;3.783735853;4.549351448;-4.58;171675453.6;22.22402999;9.729383752;4.33648529;207.7792034;9.473725908;27.4095723;0;0;0;0;0;9.967957042;0;17.76013577;72.50453932;5.920434319;28.63969989;36.73435406;9.473725908;22.37018731;0;9.967957042;0;0;14.21959508;94.18051777;0;58.19843549;9.473725908;0;11.49902367;11.33678588;24.18755212;0;24.18465285;16.00405018;78.17646759;0;33.54816041;0;44.24;0;0;0;0;22.62592665;38.4253076;11.33678588;26.35232922;53.91099932;29.89403709;25.86503285;10.92622711;1.517908216;10.88051041;1.992872818;6.565765128;10.25529663;23.75885518;5.594422932;0;3.174808245;0.066666667;35;0;4;0;0;0;3;2;5;5;0;5;4;0;0;0;5;6.4236;141.748;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;polymer;-5.29;-3.36;-5.23;-2.69
Cc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(C)cs6)c6nsnc56)cc4C)sc3c(-c3ccc(C)cc3)c3ccsc23)cc1;4.8080093;0.991894025;4.8080093;0.991894025;0.178983709;697.013;668.789;696.0856039;228;0;0.113598935;-0.172222167;0.172222167;0.113598935;0.510638298;1.14893617;1.787234043;32.14206416;9.927185729;2.229036993;-2.124386049;2.520009343;-1.856709481;7.276498185;1.473847617;1.25106966;2508.387805;31.81046135;26.17327295;30.25575585;22.92385663;15.45466378;19.57725931;12.23211617;16.69230855;8.889055039;14.03369156;6.528479865;11.62259924;-3.98;1.29602E+11;29.18109562;11.32330771;4.831689263;293.1449285;0;11.03340144;0;0;0;0;0;0;8.747079963;45.34714351;71.79057367;84.97434858;61.934683;11.72818735;0;88.28102055;0;8.747079963;0;27.6949488;0;117.9430705;0;52.88929772;0;0;0;57.07533086;8.747079963;0;27.6949488;22.25380597;95.6892645;0;84.09498742;0;25.78;0;0;0;0;0;16.59685293;101.4801278;11.33678588;34.01035763;123.3842133;8.747079963;12.26862023;8.719874217;5.114652978;7.111379149;14.6703812;0;31.90284031;0;8.712251916;0;0.1;47;0;2;0;0;0;4;5;9;7;0;7;5;0;0;0;9;13.81238;210.063;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;polymer;-5.35;-3.34;-4.99;-2.85
CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1;4.919170534;1.014825691;4.919170534;1.014825691;0.202982488;552.862;532.702;551.9950746;170;0;0.152586261;-0.238125343;0.238125343;0.152586261;0.676470588;1.352941176;1.970588235;32.141401;10.17685342;2.194149618;-1.947226774;2.451352778;-1.855003631;7.98256763;1.228597933;1.318155169;1627.722886;23.39661227;18.96271909;23.86169857;16.45753013;10.71647424;15.74176619;8.119397913;14.11244036;5.465867224;12.89940435;3.831338738;10.39412786;-1.94;107150647.3;22.51933652;8.930447404;4.061314074;222.0555322;0;0;10.01524739;0;0;0;0;9.967957042;0;67.62398293;6.066367068;79.92053887;29.25030329;21.14215038;0;77.85603314;0;9.967957042;0;27.6949488;0;69.18947742;0;39.27813056;0;0;0;67.62398293;20.20000726;0;20.7712116;28.75219187;47.36102275;0;39.27813056;0;25.78;0;0;0;0;0;21.40310338;50.1411537;34.01035763;33.6136253;74.85034991;9.967957042;0;9.032269379;20.2626034;6.376524262;4.845099293;0;11.11080183;2.283697825;8.593154156;1.829183188;0.153846154;34;0;2;0;1;1;0;5;5;7;0;8;5;0;0;0;6;9.39316;158.893;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;polymer;-5.2;-2.95;-5.02;-2.5
CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1;13.50554656;-4.449478086;13.50554656;0.227129134;0.216844466;616.608;598.464;616.0713891;214;0;0.415910227;-0.309142434;0.415910227;0.309142434;0.5;0.80952381;1.119047619;32.13474766;10.07060587;2.46991676;-2.179954061;2.485713623;-2.24235796;7.166689471;-0.137954184;1.375895661;1675.673145;30.13709924;21.72341042;23.35640358;19.75205733;12.36159429;13.99458745;9.653565282;11.82111919;7.103697343;9.38578406;4.991689023;7.18906955;-4.16;2601549810;27.98281791;9.701684833;4.544555438;242.977889;9.799819462;0;0;0;11.81435946;12.35259703;9.589074368;0;26.34249029;22.67357176;24.26546827;59.65783953;23.84963835;43.42148506;35.93156465;45.88200984;0;9.799819462;0;12.35259703;14.09534397;104.8238113;0;20.88119737;0;26.34249029;0;22.67357176;35.70952289;21.9416714;0;20.88119737;83.94261388;0;32.275276;0;40.62;23.47950002;35.93156465;0;22.96056852;42.02957038;24.26546827;56.73885949;38.36081224;0;0;0;77.88565668;2.504002427;32.33778576;0;0.885919668;-0.774703262;16.44827028;-8.898956173;0;3.112024617;0.133333333;42;0;4;0;2;2;2;2;4;4;0;12;4;0;0;0;6;8.2476;148.894;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;molecule;-5.24;-3.5;-5.29;-3.23
Cc1cc[se]c1;2.270833333;0.69849537;2.270833333;0.69849537;0.478472031;145.063;139.015;145.9634715;32;0;;;;;1.666666667;2.5;2.666666667;;;;;;;;;3.049648321;107.4988651;4.405777394;3.640299098;5.353371151;2.89384685;1.882088123;3.860173345;1.30070026;2.937269601;0.663434407;2.344172609;0.332501314;1.727727507;-0.000519481;33.54887502;4.166161617;1.632301703;0.734453084;43.55372124;0;0;0;0;0;42.9376989;0;0;0;0;0;0;0;0;0;14.50356051;0;0;0;6.9237372;0;21.51040119;0;0;0;0;0;0;14.50356051;0;6.9237372;5.563451492;15.9469497;0;0;0;0;0;0;0;0;14.50356051;0;5.563451492;0;0;22.8706869;0;0;0.69849537;4.49537037;0;1.425925926;0;2.166666667;0;2.130208333;0;0.2;6;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1.05202;28.119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;polymer;-4.8;-3;-6.24;-0.54
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5C(=C4)C(C)(C)c4cc6c(cc45)C(C)(C)c4ccsc4-6)s3)s2)sc1-c1cccs1;4.990810904;-0.018196728;4.990810904;0.018196728;0.173226364;681.036;652.812;680.0576749;218;0;0.152586261;-0.238125343;0.238125343;0.152586261;0.613636364;1.295454545;2.022727273;32.14087557;9.792486195;2.443721362;-2.234726102;2.55514582;-2.17110085;7.998664271;0.652762704;1.08828126;2286.311707;30.12022691;25.11741963;30.01639911;21.10736005;14.62715784;19.65244979;12.71852832;18.71645593;9.331369538;16.41578428;6.919659835;13.65976873;-2.72;19268316022;27.5789174;9.407300786;3.787303297;280.5607325;0;0;10.01524739;0;0;0;0;9.967957042;0;67.62398293;33.76131587;100.4721844;40.06770435;21.14215038;0;77.35311757;0;9.967957042;0;52.37240414;0;103.3926288;0;39.96443485;0;0;0;67.62398293;19.69709168;10.82998094;13.8474744;66.21375795;64.87381966;0;39.96443485;0;25.78;0;0;0;10.82998094;0;21.40310338;72.38237979;34.01035763;33.6136253;100.8431383;9.967957042;0;9.066331128;20.57381002;6.41153032;10.9625504;0;16.23578258;2.470088339;13.81706291;1.962844308;0.222222222;44;0;2;2;1;3;1;5;6;7;0;8;4;0;0;0;9;11.41384;198.123;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;polymer;-5.26;-2.8;-4.88;-2.52
Cc1ccc(C2(c3ccc(C)cc3)c3cc4c(cc3-c3sccc32)C(c2ccc(C)cc2)(c2ccc(C)cc2)c2cc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc67)s5)s3)sc2-4)cc1;4.887805989;-0.545360285;4.887805989;0.481474025;0.143949551;1089.561;1045.209;1088.154946;360;0;0.113598763;-0.172222165;0.172222165;0.113598763;0.306666667;0.733333333;1.213333333;32.14386645;9.655052976;2.523933107;-2.352800383;2.652865403;-2.29514293;7.27818886;0.759153129;0.881153924;4230.409138;50.15718557;41.22737384;46.9428499;36.7483936;25.06261225;30.81820094;20.01544012;26.71122779;15.61265691;23.03665692;11.99771758;18.87821217;-6.66;4.07E+17;45.70876352;17.44490517;6.885327373;464.1231131;0;11.03340144;0;0;0;0;0;0;8.747079963;68.02071527;137.5147803;160.819627;59.89837492;22.55816828;0;90.78230405;0;8.747079963;0;38.52492974;0;259.5125555;0;71.0252779;0;0;0;79.74890261;8.747079963;10.82998094;27.6949488;66.7614179;192.7511376;0;82.05867934;0;25.78;10.82998094;0;0;0;0;22.16030442;138.3879802;11.33678588;56.68392939;220.4460864;8.747079963;9.746600419;12.47778148;12.83066404;4.448009169;21.57029261;0;70.14058827;0;8.786064009;0;0.090909091;75;0;2;2;0;2;6;7;13;9;0;9;9;0;0;0;15;20.35518;325.413;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;polymer;-5.46;-3.56;-4.77;-2.93
