smiles;MaxEStateIndex;MinEStateIndex;MaxAbsEStateIndex;MinAbsEStateIndex;qed;MolWt;HeavyAtomMolWt;ExactMolWt;NumValenceElectrons;NumRadicalElectrons;MaxPartialCharge;MinPartialCharge;MaxAbsPartialCharge;MinAbsPartialCharge;FpDensityMorgan1;FpDensityMorgan2;FpDensityMorgan3;BCUT2D_MWHI;BCUT2D_MWLOW;BCUT2D_CHGHI;BCUT2D_CHGLO;BCUT2D_LOGPHI;BCUT2D_LOGPLOW;BCUT2D_MRHI;BCUT2D_MRLOW;BalabanJ;BertzCT;Chi0;Chi0n;Chi0v;Chi1;Chi1n;Chi1v;Chi2n;Chi2v;Chi3n;Chi3v;Chi4n;Chi4v;HallKierAlpha;Ipc;Kappa1;Kappa2;Kappa3;LabuteASA;PEOE_VSA1;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;PEOE_VSA14;PEOE_VSA2;PEOE_VSA3;PEOE_VSA4;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;SMR_VSA1;SMR_VSA10;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;SMR_VSA8;SMR_VSA9;SlogP_VSA1;SlogP_VSA10;SlogP_VSA11;SlogP_VSA12;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;TPSA;EState_VSA1;EState_VSA10;EState_VSA11;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;VSA_EState1;VSA_EState10;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;FractionCSP3;HeavyAtomCount;NHOHCount;NOCount;NumAliphaticCarbocycles;NumAliphaticHeterocycles;NumAliphaticRings;NumAromaticCarbocycles;NumAromaticHeterocycles;NumAromaticRings;NumHAcceptors;NumHDonors;NumHeteroatoms;NumRotatableBonds;NumSaturatedCarbocycles;NumSaturatedHeterocycles;NumSaturatedRings;RingCount;MolLogP;MolMR;fr_Al_COO;fr_Al_OH;fr_Al_OH_noTert;fr_ArN;fr_Ar_COO;fr_Ar_N;fr_Ar_NH;fr_Ar_OH;fr_COO;fr_COO2;fr_C_O;fr_C_O_noCOO;fr_C_S;fr_HOCCN;fr_Imine;fr_NH0;fr_NH1;fr_NH2;fr_N_O;fr_Ndealkylation1;fr_Ndealkylation2;fr_Nhpyrrole;fr_SH;fr_aldehyde;fr_alkyl_carbamate;fr_alkyl_halide;fr_allylic_oxid;fr_amide;fr_amidine;fr_aniline;fr_aryl_methyl;fr_azide;fr_azo;fr_barbitur;fr_benzene;fr_benzodiazepine;fr_bicyclic;fr_diazo;fr_dihydropyridine;fr_epoxide;fr_ester;fr_ether;fr_furan;fr_guanido;fr_halogen;fr_hdrzine;fr_hdrzone;fr_imidazole;fr_imide;fr_isocyan;fr_isothiocyan;fr_ketone;fr_ketone_Topliss;fr_lactam;fr_lactone;fr_methoxy;fr_morpholine;fr_nitrile;fr_nitro;fr_nitro_arom;fr_nitro_arom_nonortho;fr_nitroso;fr_oxazole;fr_oxime;fr_para_hydroxylation;fr_phenol;fr_phenol_noOrthoHbond;fr_phos_acid;fr_phos_ester;fr_piperdine;fr_piperzine;fr_priamide;fr_prisulfonamd;fr_pyridine;fr_quatN;fr_sulfide;fr_sulfonamd;fr_sulfone;fr_term_acetylene;fr_tetrazole;fr_thiazole;fr_thiocyan;fr_thiophene;fr_unbrch_alkane;fr_urea;Molecule_Type;HOMO_CV;LUMO_CV;HOMO_DFT;LUMO_DFT;HOMO_UPS;LUMO_IPES
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F;16.50244745;-0.118905861;16.50244745;0.011693858;0.046821306;1249.956;1167.3;1248.404856;436;0;0.1966782;-0.288460238;0.288460238;0.1966782;0.365853659;0.780487805;1.219512195;32.14332179;9.808413386;2.421606754;-2.188200738;2.565247282;-2.217879869;7.306225595;0.097986084;1.135133443;3568.757818;57.93105274;49.9087507;56.44072335;39.75054731;30.90301467;37.43498731;23.39050016;32.55454314;17.56440779;27.15068878;12.57098967;22.47625949;-3.46;9.46E+18;61.62109419;27.49325254;12.55158218;519.0464036;0;11.63444168;11.56648989;0;0;0;9.589074368;8.780830095;0;90.69428702;158.1230436;111.7333216;100.9518606;20.88119737;18.36990446;122.4330652;0;0;23.67162418;197.6538045;0;111.6820674;0;50.14408053;0;8.780830095;0;90.69428702;11.56648989;25.68328649;49.15354027;219.2288071;48.53093655;0;70.31636879;0;34.14;0;0;18.36990446;23.20093157;45.92543015;218.24139;9.754294387;102.8270212;0;105.6355744;0;35.21019938;13.47565566;45.68449003;2.166508192;4.660532113;1.569928563;16.79763565;20.86105029;22.24066678;0;0.485714286;82;0;2;1;0;1;1;8;9;10;0;12;29;0;0;0;10;25.52604;362.387;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;polymer;5.5;3.58;4.96;2.62;5.1;3.05
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl;15.94655594;0.051376398;15.94655594;0.051376398;0.046821118;1282.866;1200.21;1280.345755;436;0;0.1966782;-0.288460238;0.288460238;0.1966782;0.365853659;0.780487805;1.219512195;35.49679748;9.808413387;2.421450157;-2.188200747;2.56990212;-2.217879868;7.306601307;0.097986084;1.135133443;3568.757818;57.93105274;49.9087507;57.95258124;39.75054731;30.90301467;38.19091626;23.39050016;33.36894339;17.56440779;28.09907797;12.57098967;23.23838806;-2.74;9.46E+18;62.31690976;27.95895583;12.81321955;531.3218652;0;0;11.56648989;0;0;0;9.589074368;0;0;90.69428702;181.3249233;111.7333216;100.9518606;30.926464;9.589074368;145.634945;0;0;23.67162418;197.6538045;0;110.0928923;0;50.14408053;0;0;0;113.8961668;11.56648989;25.68328649;37.51909858;219.2288071;48.53093655;10.04526663;70.31636879;0;34.14;0;0;9.589074368;11.56648989;40.36197866;126.798608;116.8057946;45.34714351;45.34714351;117.7683085;23.20187978;2.58008403;29.16669685;47.87587646;4.312199612;5.243825741;2.284674768;18.2192205;22.46153026;22.74478066;0;0.485714286;82;0;2;1;0;1;1;8;9;10;0;12;29;0;0;0;10;26.55464;372.491;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;polymer;5.49;3.56;4.99;2.64;5.16;3.27
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F;16.33676945;-0.530064534;16.33676945;0.103558239;0.063342135;919.463;855.959;918.3136355;322;0;0.350909455;-0.461135256;0.461135256;0.350909455;0.616666667;1.15;1.7;32.14072936;9.949482952;2.288366145;-2.13655992;2.551034531;-2.13576332;7.315914051;0.042916377;1.363116805;2406.177551;42.5006958;36.94670494;41.84568442;29.11598706;22.68544523;27.58442472;16.92809875;23.81864207;12.528594;19.57601557;8.78004011;16.22966418;-2.4;2.70E+13;45.61851193;20.85331325;9.717929031;381.7838988;4.736862954;4.877147194;5.817220841;0;0;5.969305288;0;9.184952232;0;68.02071527;112.1714611;87.26185982;70.82544582;16.18394907;13.92181519;104.2484529;0;0;17.75371814;145.2814003;6.606881965;66.60115922;0;30.63549176;0;4.390415048;0;68.02071527;12.57618725;17.5785062;37.41841338;147.7725558;36.39820241;0;60.89392415;0;26.3;11.78652613;4.794537184;4.390415048;4.877147194;29.74682432;57.85629124;118.3882861;11.33678588;52.27088071;84.86436281;4.736862954;25.66936909;10.64249531;23.64345154;3.198355261;2.674628029;0.773559809;14.34433298;16.53344165;18.187033;0;0.509803922;60;0;2;0;0;0;1;6;7;8;0;9;22;0;0;0;7;19.16314;269.5705;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;polymer;5.43;3.74;4.81;2.72;5.05;3.4
CCCCCCCCCCC(CCCCCCCC)Cc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(-c4c(F)c(F)c(C)c5nsnc45)cc3CC(CCCCCCCC)CCCCCCCCCC)s2)s1;16.26726491;-0.810029499;16.26726491;0.237221552;0.035847282;1089.801;995.049;1088.598862;404;0;0.169609729;-0.203357452;0.203357452;0.169609729;0.397260274;0.767123288;1.205479452;32.14260758;9.880878146;2.26481966;-2.17448697;2.487290475;-2.054243314;7.286927908;0.400590121;1.23428516;2431.717158;51.62632356;46.3520303;50.43451321;35.75228375;29.78441099;33.78069406;21.87390238;26.87842581;15.59286626;21.13516705;11.20906271;16.48394548;-2.3;1.38E+16;59.93675288;33.76851378;18.99022731;462.9233764;0;11.03340144;11.63444168;0;0;0;0;8.780830095;8.747079963;45.34714351;233.1612407;86.05003513;44.58062904;17.29163884;8.780830095;68.10873229;0;8.747079963;11.83581209;259.8503584;0;69.60014576;0;39.70348185;0;8.780830095;0;57.07533086;8.747079963;12.84164325;37.31772817;254.7287424;36.39820241;0;50.73688328;0;25.78;11.63444168;0;8.780830095;11.12690298;16.95130748;28.94406221;251.5905954;23.82397457;34.01035763;79.76396837;0;40.92293204;8.443585227;10.03828305;0;4.286638325;-0.304653451;14.03807569;44.95074288;13.12439624;0;0.65625;73;0;2;0;0;0;1;5;6;7;0;9;40;0;0;0;6;24.38054;324.885;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;20;0;polymer;5.26;3.54;4.74;2.87;4.97;3.07
CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1;18.03911409;-1.001249667;18.03911409;0.030439928;0.029331226;1380.006;1289.286;1378.526269;496;0;0.169975204;-0.493577732;0.493577732;0.169975204;0.393617021;0.85106383;1.340425532;32.14017803;9.947506727;2.308273499;-2.170517848;2.552693056;-2.034152235;7.282962802;0.304068868;1.076510113;4215.349075;65.83054767;56.035139;60.93411849;45.819497;34.75818434;39.65716383;25.56639326;32.52009281;18.45365601;25.29081474;13.10062087;20.02887757;-5.74;4.12E+24;69.60506139;33.00399002;15.95254237;578.4547957;9.473725908;34.16686678;11.63444168;0;0;0;0;27.52961723;0;68.02071527;181.3826807;124.1629778;91.19756617;35.7285229;27.0353861;99.22640496;0;9.967957042;11.83581209;196.6479733;13.21376393;139.8393452;0;85.53047177;9.473725908;17.56166019;11.49902367;68.02071527;23.18172097;12.84164325;48.95216986;189.4674444;97.0618731;0;105.2371378;0;44.24;11.63444168;0;17.56166019;33.7947461;70.53239331;158.4931313;74.04014474;57.47987765;79.72014202;60.59889453;19.44168295;83.93794816;9.210533884;19.20344782;1.993680518;5.020058103;-0.167976422;31.32311203;23.63013497;18.51572761;0;0.425;94;0;4;0;0;0;4;7;11;10;0;14;35;0;0;0;11;28.14384;400.932;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;3;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;polymer;5.45;3.6;4.97;2.68;5.1;3.45
CCCCCCC(CCCC)Cc1cc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(F)c(CC(CC)CCCC)s8)c8sc(C)cc8c(-c8cc(F)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)sc1C;16.76726899;-0.06914163;16.76726899;0.06914163;0.036278394;1390.255;1291.471;1388.518447;488;0;0.137228097;-0.205756581;0.205756581;0.137228097;0.351648352;0.769230769;1.274725275;32.14581927;9.888215808;2.294481424;-2.167259381;2.565325642;-2.050310208;7.336311261;0.409906737;1.063582963;4023.991657;63.70922733;56.05178385;63.40025308;44.37866985;35.29516221;42.55743161;26.65693208;36.18032077;19.71145075;30.03632233;14.27707979;24.74616188;-3.24;1.02E+23;69.12152567;32.66805696;15.77769162;579.2685818;0;22.66784312;0;0;0;0;0;8.780830095;8.747079963;90.69428702;209.4896165;122.8602246;100.597406;21.12802718;8.780830095;153.8004523;0;8.747079963;23.67162418;249.0203774;0;90.80086999;0;50.14408053;0;8.780830095;0;102.4224744;8.747079963;25.68328649;49.15354027;240.1251083;48.53093655;0;101.5220585;0;25.78;0;0;8.780830095;11.63444168;17.75371814;105.3741938;218.6490037;28.23702325;80.1534494;105.6355744;8.747079963;48.67430072;16.26533408;14.41287595;4.78566065;7.331403686;2.118614196;18.58757021;33.37990103;22.94433948;0;0.538461538;91;0;2;0;0;0;2;9;11;11;0;13;37;0;0;0;11;30.18254;412.001;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;polymer;5.52;3.47;4.91;2.61;5.04;2.86
CCCCCCc1cc(C)sc1C;2.353120748;1.28787037;2.353120748;1.28787037;0.608739547;196.359;176.199;196.1285716;74;0;0.004898526;-0.145723924;0.145723924;0.004898526;1.153846154;1.923076923;2.461538462;32.13355907;10.07407127;2.010069263;-1.9849455;2.218421252;-1.843709632;7.115391816;0.666334391;2.318301529;247.6271972;9.681798276;9.021132466;9.837629047;6.236382105;5.296258731;6.112755312;3.749134847;5.209581979;2.443451;3.451652321;1.673910221;2.650139584;-0.3;988.2718994;10.77874016;5.434431417;3.513846596;85.99130331;0;0;0;0;0;0;0;0;0;11.33678588;26.18620207;38.31893621;9.754294387;0;0;11.33678588;0;0;0;52.87531971;0;21.38411295;0;0;0;0;0;11.33678588;0;6.420821623;13.8474744;47.92476957;6.066367068;0;0;0;0;0;0;0;0;0;0;41.8584025;5.563451492;11.33678588;26.83757867;0;0;1.933008997;2.983324069;0;1.582039872;0;2.353120748;6.773486788;6.70835286;0;0.666666667;13;0;0;0;0;0;0;1;1;1;0;1;5;0;0;0;1;4.48774;61.639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;polymer;5.15;3.14;4.43;2.11;4.6;2.17
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(C)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1;15.47754658;0.084941545;15.47754658;0.084941545;0.048977111;1131.849;1049.193;1130.435979;400;0;0.196664728;-0.288474481;0.288474481;0.196664728;0.386666667;0.826666667;1.32;32.1418225;9.810719302;2.408404089;-2.185994488;2.550125045;-2.218842741;7.294755191;0.097900722;1.146674009;3109.033882;52.91454488;46.74457347;52.46004953;36.46285361;29.12278497;34.83826103;21.97565493;30.11907718;16.61646195;24.88770577;11.96205187;20.67765317;-3.02;5.16E+16;56.69190266;25.84149663;11.9692578;478.0178753;0;0;11.56648989;0;0;0;9.589074368;0;0;79.35750115;158.1230436;111.7333216;101.6381649;10.44059869;9.589074368;111.0962793;0;0;23.67162418;197.6538045;0;100.0476257;0;40.38978615;0;0;0;79.35750115;11.56648989;25.68328649;37.51909858;219.2288071;48.53093655;0;60.56207441;0;34.14;0;0;9.589074368;11.56648989;22.96271508;92.2942024;148.9099027;34.01035763;45.34714351;117.7683085;0;2.779386583;13.19991716;45.60378125;2.740590287;5.603906746;2.64925241;19.22288983;23.50475904;22.86218336;0;0.515151515;75;0;2;1;0;1;1;7;8;9;0;9;28;0;0;0;9;23.51934;339.158;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;polymer;5.34;3.44;4.85;2.54;4.96;2.88
CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6cc(F)c(SC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(SC(CC)CCCC)s6)c5s4)s3)c1C2=O;16.4792993;-0.158697719;16.4792993;0.008292497;0.043772251;1286.036;1207.412;1284.317698;436;0;0.1966782;-0.288460238;0.288460238;0.1966782;0.414634146;0.87804878;1.353658537;32.19759403;9.808413387;2.421721067;-2.188200728;2.573104887;-2.217879869;8.016491376;0.097986084;1.135133443;3574.640875;57.93105274;49.31103372;57.47599953;39.75054731;30.25906412;38.55034239;22.45848254;34.59149473;16.54335706;29.37454233;11.79257363;24.51928706;-2.76;9.64E+18;62.29757643;27.94598833;12.80591974;526.5627394;0;11.63444168;11.56648989;0;0;0;9.589074368;8.780830095;0;114.2180569;132.4397571;112.7391528;101.6974422;29.29955573;18.36990446;145.9568351;0;0;11.83581209;203.7303956;0;101.927773;0;50.14408053;0;8.780830095;0;114.2180569;22.06636595;12.84164325;37.31772817;209.4745127;56.9492949;0;70.31636879;0;34.14;0;0;18.36990446;23.20093157;44.58949412;208.9409579;4.877147194;126.3507911;0;105.6355744;0;36.61624404;16.73937346;43.9195994;2.830161042;4.610535517;0.613687938;16.70819293;19.13643128;22.15910773;0;0.470588235;82;0;2;1;0;1;1;8;9;12;0;14;29;0;0;0;10;26.13004;367.289;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0;polymer;5.49;3.57;5.07;2.71;5.29;3.18
CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;13.67219612;0.032269719;13.67219612;0.032269719;0.021497285;1863.096;1734.072;1860.606575;642;0;0.265699873;-0.293173611;0.293173611;0.265699873;0.316666667;0.625;0.95;32.18448423;9.949406767;2.340239213;-2.129687947;2.578371265;-2.267613699;8.268232422;-0.122328049;0.951281738;4868.236426;84.02257135;73.10297593;84.53392806;58.6918629;46.14577325;56.7602288;33.41715887;47.64924913;24.33130108;39.527456;17.27183308;32.61891454;-3.96;7.14E+36;93.67293658;47.19849157;23.68525479;778.9672691;0;8.641068171;0;0;11.81435946;0;19.38889383;0;0;113.3678588;283.1324198;209.2264879;132.1773535;9.810273028;9.589074368;214.1071317;0;9.799819462;11.83581209;313.2285937;13.08951281;136.5018067;0;79.4069637;0;0;0;161.3273756;43.3447599;48.11400411;11.83581209;316.4660587;94.73941199;0;111.7312922;0;40.62;0;9.589074368;0;11.81435946;33.56639308;58.08949715;360.5774141;9.799819462;81.86818967;197.8182203;24.43574689;4.16234735;34.38234262;56.91388671;2.807970183;8.649870972;1.422045954;35.2156595;51.10419247;24.00835091;0;0.509803922;120;0;4;0;2;2;1;10;11;16;0;18;52;0;2;2;13;37.516;557.158;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10;16;0;molecule;5.24;3.4;4.89;2.78;5.1;3.3
